Temperature,Humidity,Wind Speed,Weather Condition,Date,Time
2.2493950624115397,81,1.55363959902496,few clouds,2024-11-25,12:00:00
2.1981984026008075,75,1.666351139236775,few clouds,2024-11-25,15:00:00
1.6210724192798247,74,1.203640605735641,few clouds,2024-11-25,18:00:00
1.0113667433520122,68,1.15618311512014,clear sky,2024-11-25,21:00:00
0.8950106983276208,68,1.0019462706197624,clear sky,2024-11-26,00:00:00
0.904319181929572,71,1.0553359475622008,broken clouds,2024-11-26,03:00:00
0.43889500183200525,73,0.48584606017619025,scattered clouds,2024-11-26,06:00:00
0.4109695510261514,72,-0.27347378967182373,clear sky,2024-11-26,09:00:00
1.3138924604154307,65,-0.06584726822900734,clear sky,2024-11-26,12:00:00
1.504716374255433,64,-0.4811003111146402,clear sky,2024-11-26,15:00:00
0.7740004115022532,76,-0.9912683352312747,few clouds,2024-11-26,18:00:00
0.6250646738710322,75,-1.1751661113663405,overcast clouds,2024-11-26,21:00:00
0.6529901246768859,73,-0.4514393794799522,overcast clouds,2024-11-27,00:00:00
0.5366340796524942,90,0.4205920105798766,moderate rain,2024-11-27,03:00:00
0.09448110855980577,90,2.4434675480656014,moderate rain,2024-11-27,06:00:00
-0.7944790754265463,93,2.5621112746043537,light rain,2024-11-27,09:00:00
-0.012566452862634364,78,1.233301537370329,light rain,2024-11-27,12:00:00
0.14102352656956268,80,0.4680495011953775,broken clouds,2024-11-27,15:00:00
-0.5291872927709336,84,-0.14296569047919647,scattered clouds,2024-11-27,18:00:00
-0.9108351204509382,83,-0.6887268325574566,clear sky,2024-11-27,21:00:00
-1.2459405301211863,85,-0.7599130684807078,clear sky,2024-11-28,00:00:00
-1.487961103771921,83,-1.014997080539025,clear sky,2024-11-28,03:00:00
-1.5624289725875316,83,-1.1099120617700269,clear sky,2024-11-28,06:00:00
-1.2552490137231376,82,-1.3827926328091569,clear sky,2024-11-28,09:00:00
0.01070475614224389,72,-1.305674210558968,clear sky,2024-11-28,12:00:00
0.11775231756468443,76,-1.3294029558667186,clear sky,2024-11-28,15:00:00
-0.5524585017758118,85,-1.1039798754430892,clear sky,2024-11-28,18:00:00
-0.8596384606402059,88,-0.6590659009227685,clear sky,2024-11-28,21:00:00
-0.9992657146694759,89,-0.6887268325574566,clear sky,2024-11-29,00:00:00
-1.0737335834850865,87,-0.6472015282688932,clear sky,2024-11-29,03:00:00
-1.1435472104997215,90,-0.5878796649995173,clear sky,2024-11-29,06:00:00
-0.8317130098343517,88,-0.34466002559507514,clear sky,2024-11-29,09:00:00
0.8158885877110346,74,0.22482986179093542,clear sky,2024-11-29,12:00:00
0.611101948468105,76,0.11211832157912087,clear sky,2024-11-29,15:00:00
-0.14288522328995315,82,0.14771143954074656,clear sky,2024-11-29,18:00:00
-0.27320399371727194,82,0.19516893015624748,clear sky,2024-11-29,21:00:00
-0.4314482149504446,82,0.20110111648318496,clear sky,2024-11-30,00:00:00
-0.8270587680333761,84,-0.5285578017301411,clear sky,2024-11-30,03:00:00
-1.1156217596938676,84,-0.4099140751913888,clear sky,2024-11-30,06:00:00
-0.8782554278441086,80,0.011271154021181536,clear sky,2024-11-30,09:00:00
